timestamp,T1pig,T2dog,T3fish,T4,T5,T6,T7,T8
2024-09-05 11:51:51,27.1,30.6,56.8,25.3,23.7,28.7,26.5,26.5
2024-09-05 11:51:51,26.6,30.1,54.0,24.9,23.3,28.4,26.5,26.5
2024-09-05 11:51:52,26.1,29.2,49.8,24.2,22.8,27.9,26.5,26.5
2024-09-05 11:51:52,25.7,28.5,46.2,23.6,22.5,27.4,26.5,26.5
2024-09-05 11:51:53,25.6,28.3,43.2,23.3,22.6,27.2,26.5,26.5
2024-09-05 11:51:53,25.9,28.3,41.5,23.3,22.9,27.2,26.5,26.5
2024-09-05 11:51:54,25.7,28.2,39.8,23.1,22.9,26.9,26.5,26.5
2024-09-05 11:51:54,25.2,27.8,38.2,22.8,22.6,26.5,26.5,26.5
2024-09-05 11:51:55,24.9,27.7,36.5,22.7,22.5,26.2,26.5,26.5
2024-09-05 11:51:55,24.7,27.5,35.0,22.6,22.4,26.0,26.5,26.5
2024-09-05 11:51:56,24.5,27.4,33.7,22.3,22.3,25.8,26.5,26.5
2024-09-05 11:51:56,24.4,27.3,33.1,22.2,22.3,25.8,26.5,26.5
2024-09-05 11:51:57,24.4,27.5,32.6,22.2,22.3,25.7,26.5,26.5
2024-09-05 11:51:57,24.4,27.8,32.3,22.4,22.3,25.6,26.5,26.5
2024-09-05 11:51:58,24.4,27.9,32.0,22.4,22.3,25.5,26.5,26.5
2024-09-05 11:51:58,24.4,28.0,31.8,22.2,22.4,25.4,26.5,26.5
2024-09-05 11:51:59,24.3,28.1,31.5,22.1,22.4,25.2,26.5,26.5
2024-09-05 11:51:59,24.2,28.2,31.2,22.1,22.5,25.1,26.5,26.5
2024-09-05 11:52:00,24.1,28.3,31.0,22.1,22.5,24.9,26.5,26.5
2024-09-05 11:52:00,24.0,28.3,30.8,22.1,22.6,24.8,26.5,26.5
2024-09-05 11:52:01,24.0,28.3,30.6,22.1,22.6,24.6,26.5,26.5
2024-09-05 11:52:01,23.9,28.3,30.4,22.1,22.6,24.5,26.5,26.5
2024-09-05 11:52:02,23.9,28.4,30.2,22.1,22.7,24.4,26.5,26.5
2024-09-05 11:52:02,23.8,28.4,30.0,22.0,22.6,24.3,26.5,26.5
2024-09-05 11:52:03,23.7,28.4,29.7,21.9,22.5,24.1,26.5,26.5
2024-09-05 11:52:03,23.5,28.4,29.5,21.9,22.5,24.0,26.5,26.5
2024-09-05 11:52:04,23.5,28.4,29.2,21.9,22.5,23.9,26.5,26.5
2024-09-05 11:52:04,23.4,28.4,29.1,21.9,22.5,23.8,26.5,26.5
2024-09-05 11:52:05,23.4,28.5,29.0,21.9,22.5,23.8,26.5,26.5
2024-09-05 11:52:05,23.3,28.5,28.8,21.8,22.5,23.7,26.5,26.5
2024-09-05 11:52:06,23.3,28.6,28.7,21.8,22.6,23.7,26.5,26.5
2024-09-05 11:52:06,23.2,28.7,28.5,21.8,22.6,23.6,26.5,26.5
2024-09-05 11:52:07,23.1,28.7,28.4,21.8,22.6,23.5,26.5,26.5
2024-09-05 11:52:07,23.0,28.7,28.1,21.7,22.6,23.4,26.5,26.5
